,RlfF,MSurf,RFGini,MI,FT,OA,dataset,iteration,n_obs
0,0.09511311400000011,0.01075560500000039,0.9059944999999994,2.576504208,0.00041050199999936865,0.053178177999999576,ANDOR,0.0,30.0
1,0.009341835999999937,0.01016077099999979,0.9008751890000006,0.8330404629999997,0.0003163470000000501,0.05166883100000064,ANDOR,1.0,30.0
2,0.0087306930000004,0.01004862899999992,0.901684457,0.9397938890000006,0.00037833500000061804,0.0362801829999988,ANDOR,2.0,30.0
3,0.011724382000000588,0.015490884000000094,0.9032499139999999,0.9880158209999994,0.00032849499999976217,0.03624673400000056,ANDOR,3.0,30.0
4,0.009199106000000512,0.011395046999998826,0.8927923409999998,0.908660317999999,0.005291838999999854,0.052483738999999474,ANDOR,4.0,30.0
5,0.008776505000000157,0.009715600999999907,0.9033422709999996,0.9681070309999988,0.0003321490000018912,0.03572713899999869,ANDOR,5.0,30.0
6,0.012589909000002564,0.015729866000000925,0.903481689000003,0.9391599789999994,0.0003209339999976635,0.03582132100000024,ANDOR,6.0,30.0
7,0.00904001600000015,0.010093009999998515,0.8968451890000004,0.9393617779999985,0.006593177999999256,0.04288666400000096,ANDOR,7.0,30.0
8,0.008514626000000192,0.010537696000000096,0.9037190059999993,0.9394524570000016,0.0003147020000007217,0.038512611000001584,ANDOR,8.0,30.0
9,0.00909028899999953,0.010011232000000092,0.901276052,0.9341914580000008,0.0003047259999995333,0.036817329000001564,ANDOR,9.0,30.0
10,0.013920513000002188,0.009760790999997937,0.9259262379999988,0.9276649210000016,0.00030464199999968855,0.03654085200000168,ANDOR,10.0,30.0
11,0.013363262999998682,0.021735910000000302,0.902613284000001,0.8320851850000004,0.00030304399999891984,0.03702938300000014,ANDOR,11.0,30.0
12,0.008803703000001661,0.01458992999999964,0.9030855779999989,0.8345767869999996,0.0003032570000023327,0.03557991699999974,ANDOR,12.0,30.0
13,0.008787993999998633,0.00976181500000095,0.9032101279999978,0.9678853339999982,0.00421144899999959,0.04275105800000034,ANDOR,13.0,30.0
14,0.00923156500000033,0.0095445930000011,0.9017651580000035,0.9406806710000026,0.0003568200000003685,0.03597999200000146,ANDOR,14.0,30.0
15,0.013481347000002586,0.022602510000005793,0.9028486750000013,1.1296374029999967,0.0003054800000015234,0.03545562999999419,ANDOR,15.0,30.0
16,0.012946953000003703,0.019015655000004017,0.9035787660000025,1.2133571640000014,0.00038138100000395525,0.036205228000000034,ANDOR,16.0,30.0
17,0.012394401000001665,0.00990777199999826,0.9014683840000046,0.9516874500000014,0.0003578789999991727,0.03618684999999999,ANDOR,17.0,30.0
18,0.008909748000000661,0.010379785000004915,0.9004266600000008,1.2490255390000016,0.0003704710000036471,0.04027690099999859,ANDOR,18.0,30.0
19,0.008778800999998282,0.010116949000000375,0.9002089190000007,0.937500098000001,0.00036511500000102615,0.056374458999997046,ANDOR,19.0,30.0
20,0.010258808999999758,0.012404166999999688,0.9011713529999952,0.8395427569999967,0.00032330999999885535,0.03514384100000001,ANDOR,20.0,30.0
21,0.011774473999999202,0.015314480999997215,0.8967205410000005,0.9261904800000025,0.006130794999997136,0.041665233999999884,ANDOR,21.0,30.0
22,0.008591993999999659,0.009744326000003412,0.9064042629999989,0.9486831919999972,0.0003638909999992279,0.05134197299999954,ANDOR,22.0,30.0
23,0.009763743000000602,0.01300189500000215,0.9020065979999998,0.8938929689999995,0.0003263549999985571,0.03703507699999875,ANDOR,23.0,30.0
24,0.01156821899999727,0.014975659000000974,0.9061818849999952,1.0529627979999958,0.00032804599999991524,0.03990536399999911,ANDOR,24.0,30.0
25,0.009404922999998178,0.009686271999996166,0.902869084999999,0.9383277630000038,0.0003586670000004233,0.051727149000001305,ANDOR,25.0,30.0
26,0.009894522999999822,0.011120151000000078,0.9031790440000051,0.9518297629999992,0.00037899499999838326,0.03553457900000012,ANDOR,26.0,30.0
27,0.011733479000000102,0.014841925999995453,0.9045839910000026,1.0320322070000003,0.0003246869999955493,0.04283922599999812,ANDOR,27.0,30.0
28,0.009234618000000694,0.00982754000000341,0.9066172069999965,0.8621550249999999,0.0003154189999960977,0.04968334400000174,ANDOR,28.0,30.0
29,0.011175733999998272,0.011660437000003299,0.9039632799999993,0.9446684999999988,0.0003916499999974121,0.03633307500000171,ANDOR,29.0,30.0
30,0.01119541799999979,0.014091649000008033,0.9031168400000098,0.9787230109999996,0.0003219059999963747,0.043377892999998835,ANDOR,30.0,30.0
31,0.009402013000013199,0.010670309999994743,0.9036717219999986,0.8277077769999863,0.00030434500000353637,0.04968802000000494,ANDOR,31.0,30.0
32,0.010033314000011728,0.011234536999992883,0.9069070789999927,0.8542075280000034,0.0003221389999907842,0.03847000599999717,ANDOR,32.0,30.0
33,0.011469502000011289,0.015097564000001285,0.9054491379999945,1.0636600240000007,0.0003868259999961765,0.07340206099999591,ANDOR,33.0,30.0
34,0.011714189999992186,0.014827746999998226,0.9058410439999989,1.0074742129999947,0.0003199479999977939,0.03872831299999291,ANDOR,34.0,30.0
35,0.009183213000000023,0.009208631999996442,0.9016577259999963,0.9463317459999985,0.00035408499999789456,0.05080004300000951,ANDOR,35.0,30.0
36,0.010802117000011435,0.013017688999994448,0.9077179030000053,0.9788627909999974,0.0003887559999924406,0.04379499300000589,ANDOR,36.0,30.0
37,0.00948067200000935,0.015743008999990593,0.9063336819999961,1.1106780399999963,0.000378438000012693,0.039011947000005875,ANDOR,37.0,30.0
38,0.0092850479999953,0.011230653999987794,0.9091093360000002,1.229406522000005,0.00032980499999268886,0.03981008499999916,ANDOR,38.0,30.0
39,0.009406357999992565,0.010434535999991112,0.9016477500000093,0.8625729959999973,0.0003232350000104134,0.05270968400000697,ANDOR,39.0,30.0
40,0.010030843000009781,0.013419292000008909,0.9020948059999938,0.8576747030000007,0.0003175519999984999,0.036377874000010024,ANDOR,40.0,30.0
41,0.010598321999992777,0.013146951999999601,0.9047012099999989,1.0394334129999976,0.00038076200000602967,0.04203676099999143,ANDOR,41.0,30.0
42,0.008883374999996363,0.009673126999999226,0.9071660580000014,0.8328816639999985,0.00030576899999346097,0.051037604000001124,ANDOR,42.0,30.0
43,0.009923123000007195,0.012176314000001298,0.9032513030000047,0.9389057650000012,0.0003273120000102381,0.036923852000001034,ANDOR,43.0,30.0
44,0.011797826999995209,0.015111176999994314,0.9057809690000056,1.0423711319999995,0.0003814549999958672,0.03963809400001139,ANDOR,44.0,30.0
45,0.00886515799999188,0.009846019000008255,0.9097623299999924,0.9627061080000061,0.00036926200000664267,0.05218577300000504,ANDOR,45.0,30.0
46,0.008924096000001214,0.010552359999991268,0.9038598979999932,0.942829076999999,0.00035975399998733337,0.03578255200000058,ANDOR,46.0,30.0
47,0.015005873999996311,0.009988031000006004,0.9288382910000053,0.977522570000005,0.00036972899999909714,0.035896492999995644,ANDOR,47.0,30.0
48,0.012698653000001059,0.009594786999997496,0.8998812100000038,0.8278909739999989,0.0003046000000068716,0.03478364400000089,ANDOR,48.0,30.0
49,0.009182611999989376,0.010383431999997583,0.9026001229999991,1.152804850999999,0.0002975620000000845,0.04806929599999421,ANDOR,49.0,30.0
50,0.01613955899999553,0.017822567999999706,0.8416901320000107,0.09306196200000727,0.0003074140000052239,0.04475665500000048,ANDOR,0.0,50.0
51,0.016337636999992355,0.017309780999994473,0.8461316490000002,0.09449482100001205,0.0003098739999956024,0.044641983000005325,ANDOR,1.0,50.0
52,0.014617153999992638,0.017200395000003255,0.8441992839999983,0.0932247770000032,0.0003076349999986405,0.04308011099999476,ANDOR,2.0,50.0
53,0.017039127000003873,0.016090992000002302,0.8400802820000024,0.09037382199998945,0.00030180599999596325,0.05339112599999396,ANDOR,3.0,50.0
54,0.0155410330000052,0.07188044299999774,0.8408299949999929,0.10777740399998947,0.0002967260000019678,0.044509074000004034,ANDOR,4.0,50.0
